,sample_size,pymc_time,pystan_exec_times,nutpie_exec_times,numpyro_exec_times
0,10000,31.044371843338013,30.708712100982662,9.568552017211914,10.46227502822876
1,20000,39.54136300086975,39.807188987731934,9.022525072097778,9.649862051010132
2,50000,66.41096711158752,57.20070600509644,11.7047119140625,28.128910064697266
3,100000,74.8101601600647,153.18913984298706,13.940516948699951,39.95307683944702
4,10000,30.50753617286682,40.00227999687195,10.87216305732727,9.93620991706848
5,20000,39.323137044906616,39.16056799888611,9.078521966934204,9.794986009597778
6,50000,50.25922679901123,114.65392565727234,11.199527025222778,19.84608507156372
7,100000,86.66855120658875,126.63094711303712,15.066195964813232,45.16981911659241
8,10000,56.13858294487,34.79283285140991,8.147567749023438,5.85066294670105
9,20000,42.93329691886902,31.117915868759155,9.88772201538086,11.0903217792511
10,50000,52.17977929115296,78.51833701133728,12.42927098274231,23.315284252166748
11,100000,90.49575781822205,93.2112638950348,19.75517582893372,36.30844593048096
12,10000,37.23681712150574,23.554672241210938,9.051608800888062,6.914587020874023
13,20000,70.83925604820251,46.91213798522949,9.28826093673706,11.012203931808472
14,50000,56.74502229690552,81.84990906715393,11.135267972946169,45.01829600334168
15,100000,78.36516904830933,250.67714190483093,15.156721115112305,42.669509172439575
16,10000,33.81585192680359,30.83371329307556,8.833467960357666,5.670574903488159
17,20000,40.32692885398865,39.30786490440369,10.630947828292848,10.06679916381836
18,50000,135.13296008110046,61.3482780456543,12.166393995285034,34.724589109420776
19,100000,80.71594500541687,199.6444809436798,12.676093101501465,54.900599002838135
20,10000,32.49587416648865,34.82695770263672,8.1893949508667,6.889726877212524
21,20000,37.5103931427002,46.63014197349548,9.64099407196045,11.38058304786682
22,50000,66.5405580997467,98.73126602172852,13.383108139038086,25.105890035629272
23,100000,115.33151292800903,71.56474375724792,17.94818925857544,52.47914409637451
24,10000,54.775060176849365,47.13749885559082,8.70428204536438,5.837886095046997
25,20000,44.09541082382202,34.975292921066284,10.9683358669281,9.122323989868164
26,50000,57.05873513221741,74.06044125556946,12.442162990570068,19.4373779296875
27,100000,75.35885715484619,195.34143376350403,13.174743175506592,41.24525713920593
28,10000,47.96344923973084,34.762596130371094,9.328863859176636,6.309329271316528
29,20000,47.12026000022888,63.287312269210815,10.529529094696043,10.7404043674469
30,50000,56.158316135406494,61.259926080703735,12.04341197013855,29.3185076713562
31,100000,74.35370874404907,76.80674195289612,16.353466749191284,48.89176177978516
32,10000,30.344672918319706,37.02033472061157,9.287163019180298,6.6070640087127686
33,20000,34.80889010429382,53.82866716384888,9.81705617904663,8.861049890518188
34,50000,85.18576383590698,119.03535628318788,14.77682113647461,21.28469610214233
35,100000,82.15139317512512,64.08460974693298,17.533499240875244,45.4310040473938
36,10000,34.66766905784607,30.747299909591675,8.796629190444946,7.358548879623413
37,20000,47.04297709465027,39.67566108703613,11.484505891799929,9.986613035202026
38,50000,58.48819613456726,59.0183789730072,12.933497190475464,30.24627184867859
39,100000,73.60849404335022,88.64020085334778,17.113906145095825,41.04397010803223
40,10000,54.28237271308899,29.0232801437378,9.123480081558228,10.132097959518433
41,20000,82.67547082901001,42.69497394561768,9.192328929901125,10.223011016845703
42,50000,51.182005167007446,83.16589021682739,20.172930002212524,26.20396327972412
43,100000,70.81350493431091,84.29798078536987,15.348555088043211,35.62512516975403
44,10000,39.65147185325623,43.22981715202332,8.687863111495972,5.776726961135864
45,20000,38.11980986595154,31.476343154907227,10.084360122680664,10.49044132232666
46,50000,70.8439691066742,102.02499508857728,12.710776805877686,20.309934854507446
47,100000,86.59864711761475,68.67944288253784,18.336484909057617,42.35254907608032
48,10000,34.00719618797302,52.63046717643738,9.351098775863647,5.766639232635498
49,20000,44.6020131111145,64.60419392585754,9.811222076416016,8.994910955429077
50,50000,90.22466802597046,69.57826375961304,14.318944692611694,19.494770050048828
51,100000,88.64150309562683,74.76270008087158,19.5518798828125,52.38694095611572
52,10000,35.360735177993774,36.57945966720581,10.371349096298218,5.987360000610352
53,20000,37.33697700500488,49.01900601387024,9.914250135421751,8.890750885009766
54,50000,48.82065796852112,136.61237812042236,13.467956781387327,23.88515496253968
